id,number,admin_division,pop_2020,pop_2010,pop_2000,pop_1990,pop_1982,pop_1964,pop_1954,pop_1947,pop_1937,pop_1928,pop_1912,p_12_28,p_28_37,p_37_47,p_47_54,p_54_64,p_64_82,p_82_90,p_90_00,p_00_10,p_10_20,non_zero,average
??,26,Ningxia,7202654,6176900,5486393,4655451,3895578,0,0,759000,978000,1450000,303000,3.7855,-0.3255,-0.2239,0.0000,0.0000,0.0000,0.1951,0.1785,0.1259,0.1661,7.0000,0.557357758
??,27,Hainan,10081232,9261518,7559035,6557482,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1527,0.2252,0.0885,3.0000,0.155488941
??,29,Beijing,21893095,19612368,13569194,10819407,9230687,7568495,2768149,1722000,1551000,0,0,0.0000,0.0000,0.1103,0.6075,1.7341,0.2196,0.1721,0.2542,0.4454,0.1163,8.0000,0.457430366
??,30,Tianjin,13866009,12938224,9848731,8785402,7764141,0,2693831,1773000,1218000,0,0,0.0000,0.0000,0.4557,0.5194,0.0000,0.0000,0.1315,0.1210,0.3137,0.0717,6.0000,0.268833473
??,31,Shanghai,24870895,23019148,16407734,13341896,11859748,10816458,6204417,4630000,3727000,0,0,0.0000,0.0000,0.2423,0.3400,0.7433,0.0965,0.1250,0.2298,0.4029,0.0804,8.0000,0.282535854
??,32,Hong Kong,7474200,7061200,6708389,5704000,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1761,0.0526,0.0585,3.0000,0.095722059
??,33,Macao,683218,552503,435235,350227,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2427,0.2694,0.2366,3.0000,0.24958186
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
